car_full_nm,car_0_60_time_seconds
Ariel Atom V8 500 - [2008],2.3
Bugatti Veyron 16.4 Grand Sport Vitesse - [2012],2.5
Bugatti Veyron 8.0 litre W16 Super Sport - [2010],2.5
Caparo T1 2.4 V8 - [2006],2.5
Caparo T1 3.5l V8 - [2007],2.5
Hennessey Venom GT - [2010],2.5
SSC Tuatara 6.9L V8 Twin Turbo - [2011],2.5
Ultima GTR 720 - [2000],2.6
Bugatti Veyron 8.0 litre W16 - [2005],2.7
Ascari A10 5.0 V8 - [2006],2.8
BAC Mono 280bhp - [2011],2.8
Caterham 7 620 R 2.0 L Supercharged - [2013],2.8
Koenigsegg Agera S 5.0 V8 Hundra - [2013],2.8
Lamborghini Veneno 6.5 V12 - [2013],2.8
Porsche 918 Spyder 4.6 V8 - [2013],2.8
SSC Ultimate Aero TT - [2008],2.8
TVR Cerbera Speed 12 - [2000],2.8
Ariel Atom Mugen - [2012],2.9
Caterham 7 RST-V8 Levante - [2008],2.9
Caterham 7 Superlight R500 - [2009],2.9
Ferrari F50 GT1 4.7l V12 - [1996],2.9
Gumpert Apollo Enraged 4.2 V8 Turbo - [2012],2.9
Koenigsegg Agera 5L V8 - [2011],2.9
Koenigsegg Agera R 5.0 V8 - [2012],2.9
Koenigsegg CCX R Special Edition 4.8 V8 S - [2008],2.9
Lamborghini Aventador LP700-4 - [2011],2.9
Lamborghini Veneno Roadster 6.5 V12 - [2013],2.9
McLaren P1 3.8 V8 Hybrid - [2013],2.9
Nissan Skyline GTR R35 - [2012],2.9
Porsche 9FF GT9R - [2009],2.9
SSC Aero SC 8T 6.3L - [2005],2.9
TVR Speed 12 7.7L V12 - [1997],2.9
Ferrari 458 Speciale 4.5 V8 - [2013],3.0
Ferrari F12 Berlinetta 6.3L V12 - [2012],3.0
Ferrari LaFerrari 6.3L V12 - [2013],3.0
Gumpert Apollo 4.2L V8 Twin Turbo - [2005],3.0
Gumpert Apollo S 4.2 V8 Twin Turbo - [2009],3.0
Lamborghini Aventador LP700-4 Roadster - [2013],3.0
Lamborghini Aventador LP720-4 50th Anniversario - [2013],3.0
McLaren 650S 3.8 V8 Twin Turbo - [2014],3.0
McLaren MP4-12C 3.8 V8 Twin Turbo Spider - [2012],3.0
McLaren MP4-12C 3.8L V8 Twin Turbo - [2012],3.0
Porsche 9FF GT9 - [2008],3.0
Ford GT 90 6.0L V12 - [1995],3.1
Koenigsegg Agera 4.7L V8 - [2010],3.1
Lamborghini Huracan LP 610-4 - [2014],3.1
McLaren 650S Spider 3.8 V8 Twin Turbo - [2014],3.1
Porsche 911 Turbo S 991 - [2013],3.1
Porsche 911 Turbo S 997 - [2010],3.1
Ferrari SA Aperta Pininfarina 6.0 V12 - [2011],3.2
Koenigsegg CCX 4.7 V8 Supercharged - [2006],3.2
Koenigsegg CCX 4.7 V8 Supercharged - [2006],3.2
Lamborghini Gallardo LP560-4 - [2008],3.2
McLaren F1 6.0 V12 - [1994],3.2
Westfield Sport 2000S - [2004],3.2
Ariel Atom 300 Supercharged - [1999],3.3
Caterham 7 485 2.0L - [2013],3.3
Ferrari 458 Spider 4.5 V8 - [2011],3.3
Ferrari 599 GTO - [2010],3.3
Lamborghini Gallardo LP570-4 Super Trofeo Stradale - [2011],3.3
Lamborghini Reventon Roadster 6.5L V12 - [2009],3.3
McLaren MP4-12C 3.8L V8 Twin Turbo - [2011],3.3
Pagani Zonda Cinque 7.3L - [2008],3.3
Saleen S7 7.0 V8 - [2000],3.3
Ultima GTR 5.7 - [2000],3.3
Bugatti EB110 SuperSport - [1992],3.4
Caterham 7 Superlight R500 - [2000],3.4
Chevrolet Corvette C6 ZR1 - [2007],3.4
Dodge Viper SRT 8.3 V10 - [2013],3.4
Ferrari 458 4.5 V8 - [2009],3.4
Lamborghini Diablo GTR 6.0L V12 - [2001],3.4
Lamborghini Reventon 6.5 V12 - [2007],3.4
Mercedes SLR Class McLaren Stirling Moss - [2009],3.4
Mitsubishi Lancer Evo VIII MR FQ 400 - [2004],3.4
Nissan Skyline GT-R Spec V - [2009],3.4
Porsche 911 GT2 997 - [2007],3.4
Porsche 911 Turbo 991 - [2013],3.4
Audi R8 5.2 V10 Spyder - [2012],3.5
Audi R8 GT 5.2L V10 - [2011],3.5
Audi R8 Plus S-Tronic 5.2 V10 - [2012],3.5
Caterham Super 7 JPE - [1992],3.5
Ferrari 430 Scuderia - [2007],3.5
Ferrari 599 GTB Fiorano - [2006],3.5
Ferrari California T 3.9 V8 Turbo - [2014],3.5
Ferrari Enzo 6.0 V12 - [2002],3.5
Ferrari FF 6.3L V12 - [2011],3.5
Lamborghini Murcielago LP640 6.5 V12 - [2006],3.5
Nissan Skyline R35 GTR - [2007],3.5
Noble M400 3.0 V6 - [2004],3.5
Noble M600 4.4L V8 - [2009],3.5
Pagani Huayra 6.0L Twin turbo - [2013],3.5
Porsche 911 GT2 RS 997 - [2010],3.5
Porsche 911 GT3 3.8 991 - [2013],3.5
Aston-Martin One77 7.3L V12 - [2011],3.6
Audi R8 Plus 5.2 V10 - [2012],3.6
BMW 3 Series M3 GTR E46 - [2001],3.6
Fisker Tramonto 5.4 V8 Performance Plus - [2005],3.6
Jaguar XJ 220 - [1991],3.6
KTM X-Bow R 2.0 Turbo - [2011],3.6
Lamborghini Murcielago 6.2 V12 - [2001],3.6
Mercedes CLS Class 63 AMG 4Matic - [2013],3.6
Mercedes SLR Class McLaren 722 Edition - [2006],3.6
Mercedes SLR Class McLaren 722 S Roadster - [2008],3.6
Mercedes SLS AMG Black Series 6.2 V8 - [2012],3.6
Mitsubishi Lancer Evo X FQ 400 - [2009],3.6
Pagani Zonda F - [2005],3.6
Porsche 911 GT2 993 - [1995],3.6
Porsche 911 GT2 996 - [2000],3.6
Porsche 911 Turbo 997 - [2009],3.6
Aston-Martin Vantage V12 S - [2013],3.7
Audi A6 RS6 Avant 4.0 V8 Twin Turbo - [2012],3.7
Audi R8 Spyder GT 5.2L V10 - [2011],3.7
Chevrolet Corvette Z06 - [2006],3.7
